ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,PNT
34,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,88
34,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
34,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,256
34,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,119
34,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
34,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,119
34,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,107
34,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,230
35,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,324
35,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,170
35,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,71
35,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
35,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,298
35,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,74
35,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
35,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,116
35,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
35,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,246
36,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
36,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,169
36,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,86
36,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
36,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,
36,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,81
36,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
36,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,113
36,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
36,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
37,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
37,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,155
37,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,70
37,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
37,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,
37,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,78
37,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
37,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,114
37,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
37,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
39,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
39,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,155
39,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,79
39,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
39,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,257
39,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,86
39,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
39,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,116
39,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
39,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,214
40,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
40,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,136
40,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,72
40,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
40,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,289
40,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,60
40,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
40,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,91
40,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
40,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
41,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
41,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,141
41,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,92
41,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
41,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,214
41,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,76
41,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
41,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,113.5
41,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
41,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
