ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,Bearing_Indicated,Bearing_Actual,Bearing_Difference,Distance_Meters
29,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
29,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,228,243.0645,15.06454,26581.13
30,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,356,318.1695,-37.83054,57897.14
30,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,152,161.9184,9.918427,77045.01
30,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,91,73.18396,-17.81604,19298.63
30,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
30,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,234,263.032,29.03198,35788.93
30,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,86,73.94188,-12.05812,25130.32
30,okau,-17.3923,13.606783,ongokua,-16.656,13.423,27,346.4698,-40.53015,83802.48
30,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,113,117.1381,4.138062,25282.81
30,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
30,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,208,243.0645,35.06454,26581.13
31,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,,316.9218,,66162.67
31,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,189,165.6738,-23.32617,70217.24
31,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,53,47.8304,-5.169601,16069.3
31,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,,278.2858,,131721.6
31,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,323,271.1509,-51.84912,42093.35
31,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,48,55.34229,7.342293,21379.34
31,orue,-17.439283,13.668533,ongokua,-16.656,13.423,347,343.1837,-3.816254,90540.95
31,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,94,111.6458,17.64581,17150.93
31,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,,89.72446,,76282.81
31,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,,257.2432,,31021.03
