Subject,Front,Trial,Degree,RT,Acc
40,0,3,240,2.43,1
40,0,4,300,2.75,1
40,0,5,120,2.73,1
40,0,6,180,6.78,0
40,0,7,0,2.35,1
40,0,8,240,3.35,1
40,0,9,0,2.85,1
40,0,10,300,2.7,1
40,0,11,60,2.16,1
40,0,12,60,3.88,1
40,0,1,60,3.91,1
40,0,2,300,1.95,0
40,0,3,60,3.7,0
40,0,4,240,6.62,0
40,0,5,0,6,1
40,0,6,300,5.07,1
40,0,7,0,3.32,1
40,0,8,180,13.77,0
40,0,9,120,4.45,0
40,0,10,180,23.35,1
40,0,11,240,4.3,0
40,0,12,120,6.5,0
40,1,1,180,11.39,1
40,1,2,240,4.47,0
40,1,3,60,3.03,1
40,1,4,120,3.2,0
40,1,5,0,2.67,1
40,1,6,120,3.51,0
40,1,7,240,6.25,0
40,1,8,180,4.95,1
40,1,9,60,3.62,1
40,1,10,300,2.42,1
40,1,11,300,2.75,1
40,1,12,0,1.93,1
41,1,1,240,3.83,1
41,1,2,120,2.88,1
41,1,3,60,2.38,1
41,1,4,180,5.87,1
41,1,5,0,8.78,1
41,1,6,120,3.28,1
41,1,7,60,3.07,1
41,1,8,0,1.98,1
41,1,9,180,4.92,1
41,1,10,300,5,1
41,1,11,300,2.37,1
41,1,12,240,4.53,1
42,0,1,60,15.05,1
42,0,2,300,7.17,1
42,0,3,120,7.68,0
42,0,4,240,9.3,0
42,0,5,60,6.48,0
42,0,6,0,4.3,1
42,0,7,300,7.32,1
42,0,8,240,16.43,0
42,0,9,180,12.18,0
42,0,10,0,8.25,0
42,0,11,180,25.78,0
42,0,12,120,7.52,0
43,0,1,240,9.04,1
43,0,2,300,9.64,1
43,0,3,0,3.85,1
43,0,4,180,6.27,1
43,0,5,120,7.38,1
43,0,6,300,4.28,1
43,0,7,60,5.63,1
43,0,8,60,2.68,1
43,0,9,120,4.4,1
43,0,10,180,2.9,1
43,0,11,0,4.42,1
43,0,12,240,3.25,1
43,0,1,120,23.67,1
43,0,2,180,13.22,1
43,0,3,240,6.58,1
43,0,4,0,6.5,1
43,0,5,60,9.83,1
43,0,6,60,4.55,1
43,0,7,120,5.35,1
43,0,8,240,7.38,1
43,0,9,180,4.93,1
43,0,10,300,7.08,1
43,0,11,0,3.92,1
43,0,12,300,4.95,1
43,1,1,0,11.51,1
43,1,2,300,3.3,1
43,1,3,0,1.97,1
43,1,4,120,3.68,1
43,1,5,240,4.25,1
43,1,6,120,4.22,1
43,1,7,300,2.25,1
43,1,8,180,8.27,1
43,1,9,60,2.32,1
43,1,10,60,1.95,1
43,1,11,180,4.1,1
43,1,12,240,2.65,1
43,1,1,300,13.4,1
43,1,2,0,5.75,1
43,1,3,240,9.83,1
43,1,4,300,3.57,1
43,1,5,0,4.72,1
43,1,6,120,5.32,1
43,1,7,180,5.61,1
43,1,8,60,7.98,1
43,1,9,240,7.67,1
43,1,10,180,3.45,1
43,1,11,60,3.75,1
43,1,12,120,3.37,1
45,0,1,300,7.16,1
45,0,2,120,6.73,1
45,0,3,60,3.95,1
45,0,4,120,3.53,1
45,0,5,300,2.75,1
45,0,6,0,4.88,1
45,0,7,60,10.8,1
45,0,8,0,4.56,1
45,0,9,180,4.45,1
45,0,10,240,2.92,1
45,0,11,180,3.58,1
45,0,12,240,3.35,1
45,1,1,120,11.01,1
45,1,2,0,5.07,1
45,1,3,60,3.07,1
45,1,4,180,3.68,1
45,1,5,240,3,1
45,1,6,180,3.12,1
45,1,7,0,2.75,1
45,1,8,240,2.47,1
45,1,9,300,2.6,1
45,1,10,300,2.87,1
45,1,11,120,3.23,1
45,1,12,60,3.27,1
46,0,1,60,25.15,1
46,0,2,180,46.7,1
46,0,3,60,6.97,1
46,0,4,0,3.37,1
46,0,5,120,8.83,1
46,0,6,180,11.65,1
46,0,7,300,5.98,1
46,0,8,120,4.85,1
46,0,9,0,4.31,1
46,0,10,240,12.62,1
46,0,11,240,3.82,1
46,0,12,300,3.12,1
46,1,1,120,35.04,1
46,1,2,240,20.68,1
46,1,3,240,15.63,1
46,1,4,180,17.53,0
46,1,5,60,11.47,0
46,1,6,0,7.49,1
46,1,7,300,4.31,1
46,1,8,300,5.2,1
46,1,9,0,4.05,1
46,1,10,180,6.83,0
46,1,11,120,12.64,1
46,1,12,60,5.76,1
47,0,1,300,9.82,1
47,0,2,180,5.73,1
47,0,3,120,6.78,1
47,0,4,60,3.18,1
47,0,5,300,2.22,1
47,0,6,0,2.32,1
47,0,7,240,3.07,1
47,0,8,240,2.8,1
47,0,9,60,2.4,1
47,0,10,120,3.05,1
47,0,11,180,2.93,1
47,0,12,0,2.4,1
47,1,1,300,5.9,1
47,1,2,60,2.3,1
47,1,3,0,2.57,1
47,1,4,180,4.42,1
47,1,5,240,2.88,1
47,1,6,240,1.73,1
47,1,7,120,2.13,1
47,1,8,60,1.72,1
47,1,9,0,1.62,1
47,1,10,120,1.7,1
47,1,11,300,1.58,1
47,1,12,180,5.03,1
48,0,1,0,4.4,1
48,0,2,60,4.87,1
48,0,3,300,4.25,1
48,0,4,180,5.8,1
48,0,5,120,4.13,1
48,0,6,180,4.4,1
48,0,7,240,3.86,1
48,0,8,300,3.22,1
48,0,9,60,3.3,1
48,0,10,0,2.88,1
48,0,11,240,4.4,1
48,0,12,120,4.9,1
48,1,1,240,11.88,1
48,1,2,120,5.63,1
48,1,3,240,7.08,1
48,1,4,300,3.37,1
48,1,5,300,3.78,1
48,1,6,120,3.18,1
48,1,7,0,2.65,1
48,1,8,60,2.36,1
48,1,9,60,2.58,1
48,1,10,0,3.55,1
48,1,11,180,7.42,1
48,1,12,180,9.3,1
49,0,1,240,31.53,1
49,0,2,120,6.36,1
49,0,3,240,12.15,0
49,0,4,60,5.75,0
49,0,5,0,4.78,1
49,0,6,300,11.27,1
49,0,7,180,8.4,0
49,0,8,0,5.1,1
49,0,9,120,6.05,1
49,0,10,60,3.3,1
49,0,11,300,8.92,1
49,0,12,180,4.51,0
49,1,1,0,5.97,0
49,1,2,0,19.63,0
49,1,3,120,8.02,1
49,1,4,120,19.48,1
49,1,5,60,12.81,1
49,1,6,180,11.67,0
49,1,7,60,9.3,1
49,1,8,240,7.82,0
49,1,9,180,6.29,0
49,1,10,300,4.08,1
49,1,11,240,8.19,0
49,1,12,300,9.28,1
50,0,1,0,26.06,1
50,0,2,300,6.98,1
50,0,3,300,8.25,1
50,0,4,120,31.42,0
50,0,5,0,4.53,1
50,0,6,240,18,1
50,0,7,180,37.55,0
50,0,8,120,26.68,0
50,0,9,60,7.83,1
50,0,10,60,6.9,1
50,0,11,180,7.15,0
50,0,12,240,5.82,0
